Crosswalk of Popular Vote (popV) annotated cells to Cell Ontology,,,,,,
,,,,,,
Author Name(s):,Ellen M. Quardokus,Aleix Puig-Barbe,,,,
lymph node,UBERON:0000029,CD141-positive myeloid dendritic cell,PV:0000145,CD141-positive myeloid dendritic cell,CL:0002394,skos:exactMatch
lymph node,UBERON:0000029,CD1c-positive myeloid dendritic cell,PV:0000146,CD1c-positive myeloid dendritic cell,CL:0002399,skos:exactMatch
lymph node,UBERON:0000029,T cell,PV:0000147,T cell,CL:0000084,skos:exactMatch
lymph node,UBERON:0000029,classical monocyte,PV:0000148,classical monocyte,CL:0000860,skos:exactMatch
lymph node,UBERON:0000029,"effector CD4-positive, alpha-beta T cell",PV:0000149,"effector CD4-positive, alpha-beta T cell",CL:0001044,skos:exactMatch
lymph node,UBERON:0000029,"effector CD8-positive, alpha-beta T cell",PV:0000150,"effector CD8-positive, alpha-beta T cell",CL:0001050,skos:exactMatch
lymph node,UBERON:0000029,endothelial cell,PV:0000151,endothelial cell,CL:0000115,skos:exactMatch
lymph node,UBERON:0000029,erythrocyte,PV:0000152,erythrocyte,CL:0000232,skos:exactMatch
lymph node,UBERON:0000029,hematopoietic stem cell,PV:0000153,hematopoietic stem cell,CL:0000037,skos:exactMatch
lymph node,UBERON:0000029,innate lymphoid cell,PV:0000154,innate lymphoid cell,CL:0001065,skos:exactMatch
lymph node,UBERON:0000029,intermediate monocyte,PV:0000155,intermediate monocyte,CL:0002393,skos:exactMatch
lymph node,UBERON:0000029,macrophage,PV:0000156,macrophage,CL:0000235,skos:exactMatch
lymph node,UBERON:0000029,mast cell,PV:0000157,mast cell,CL:0000097,skos:exactMatch
lymph node,UBERON:0000029,mature NK T cell,PV:0000158,mature NK T cell,CL:0000814,skos:exactMatch
lymph node,UBERON:0000029,mature conventional dendritic cell,PV:0000159,mature conventional dendritic cell,CL:0000841,skos:exactMatch
lymph node,UBERON:0000029,neutrophil,PV:0000160,neutrophil,CL:0000775,skos:exactMatch
lymph node,UBERON:0000029,non-classical monocyte,PV:0000161,non-classical monocyte,CL:0000875,skos:exactMatch
lymph node,UBERON:0000029,plasma cell,PV:0000162,plasma cell,CL:0000786,skos:exactMatch
lymph node,UBERON:0000029,regulatory T cell,PV:0000163,regulatory T cell,CL:0000815,skos:exactMatch
lymph node,UBERON:0000029,stromal cell,PV:0000164,stromal cell,CL:0000499,skos:exactMatch
lymph node,UBERON:0000029,type I NK T cell,PV:0000165,type I NK T cell,CL:0000921,skos:exactMatch
male reproductive system,UBERON:0000079,"CD8-positive, alpha-beta T cell",PV:0000166,"CD8-positive, alpha-beta T cell",CL:0000625,skos:exactMatch
male reproductive system,UBERON:0000079,basal cell of prostate epithelium,PV:0000167,basal cell of prostate epithelium,CL:0002341,skos:exactMatch
male reproductive system,UBERON:0000079,club cell,PV:0000168,club cell,CL:0000158,skos:exactMatch
male reproductive system,UBERON:0000079,endothelial cell,PV:0000169,endothelial cell,CL:0000115,skos:exactMatch
male reproductive system,UBERON:0000079,epithelial cell,PV:0000170,epithelial cell,CL:0000066,skos:exactMatch
male reproductive system,UBERON:0000079,erythroid progenitor cell,PV:0000171,erythroid progenitor cell,CL:0000038,skos:exactMatch
male reproductive system,UBERON:0000079,fibroblast,PV:0000172,fibroblast,CL:0000057,skos:exactMatch
male reproductive system,UBERON:0000079,luminal cell of prostate epithelium,PV:0000173,luminal cell of prostate epithelium,CL:0002340,skos:exactMatch
male reproductive system,UBERON:0000079,macrophage,PV:0000174,macrophage,CL:0000235,skos:exactMatch
male reproductive system,UBERON:0000079,mature NK T cell,PV:0000175,mature NK T cell,CL:0000814,skos:exactMatch
male reproductive system,UBERON:0000079,monocyte,PV:0000176,monocyte,CL:0000576,skos:exactMatch
male reproductive system,UBERON:0000079,smooth muscle cell,PV:0000177,smooth muscle cell,CL:0000192,skos:exactMatch
male reproductive system,UBERON:0000079,stromal cell,PV:0000178,stromal cell,CL:0000499,skos:exactMatch
mammary gland,UBERON:0001911,B cell,PV:0000179,B cell,CL:0000236,skos:exactMatch
