"Anatomical Structures, Cell Types and Biomarkers Table for Anatomical Systems",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Author Name(s):,Ellen M. Quardokus; Griffin Weber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Author ORCID(s):,0000-0001-7655-4833; 0000-0002-2597-881X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reviewer(s):,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reviewer ORCID(s):,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Publication(s):,UBERON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data DOI:,https://doi.org/10.48539/HBM723.WZWK.335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date:,"March 7, 2025",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Version Number:,v1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AS/1,AS/1/LABEL,AS/1/ID,AS/2,AS/2/LABEL,AS/2/ID,AS/3,AS/3/LABEL,AS/3/ID,AS/4,AS/4/LABEL,AS/4/ID,AS/5,AS/5/LABEL,AS/5/ID,AS/6,AS/6/LABEL,AS/6/ID,AS/7,AS/7/LABEL,AS/7/ID,AS/8,AS/8/LABEL,AS/8/ID,AS/9,AS/9/LABEL,AS/9/ID,AS/10,AS/10/LABEL,AS/10/ID,AS/11,AS/11/LABEL,AS/11/ID,AS/12,AS/12/LABEL,AS/12/ID,AS/13,AS/13/LABEL,AS/13/ID,AS/14,AS/14/LABEL,AS/14/ID,AS/15,AS/15/LABEL,AS/15/ID,AS/16,AS/16/LABEL,AS/16/ID,AS/17,AS/17/LABEL,AS/17/ID,AS/18,AS/18/LABEL,AS/18/ID,AS/19,AS/19/LABEL,AS/19/ID,REF/1,REF/1/ID,REF/1/NOTES,REF/2,REF/2/ID,REF/2/NOTES,REF/3,REF/3/ID,REF/3/NOTES,REF/4,REF/4/ID,REF/4/NOTES,REF/5,REF/5/ID,REF/5/NOTES,REF/6,REF/6/ID,REF/6/NOTES
anatomical system,anatomical system,UBERON:0000467,lymphoid system,lymphoid system,UBERON:0002465,lymphatic part of lymphoid system,lymphatic part of lymphoid system,UBERON:0006558,lymph vasculature,lymph vasculature,UBERON:0004536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Uberon release 11-25-2024,http://purl.obolibrary.org/obo/uberon/releases/2024-11-25/uberon.owl,,,,,,,,,,,,,,,,
anatomical system,anatomical system,UBERON:0000467,integumental system,integumental system,UBERON:0002416,integument,integument,UBERON:0002199,skin of body,skin of body,UBERON:0002097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Uberon release 11-25-2024,http://purl.obolibrary.org/obo/uberon/releases/2024-11-25/uberon.owl,,,,,,,,,,,,,,,,
anatomical system,anatomical system,UBERON:0000467,integumental system,integumental system,UBERON:0002416,mammary gland,mammary gland,UBERON:0001911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Uberon release 11-25-2024,http://purl.obolibrary.org/obo/uberon/releases/2024-11-25/uberon.owl,,,,,,,,,,,,,,,,
anatomical system,anatomical system,UBERON:0000467,respiratory system,respiratory system,UBERON:0001004,respiratory tract,respiratory tract,UBERON:0000065,proximo-distal subdivision of respiratory tract,proximo-distal subdivision of respiratory tract,UBERON:0000072,upper respiratory tract,upper respiratory tract,UBERON:0001557,nasopharynx,nasopharynx,UBERON:0001728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Uberon release 11-25-2024,http://purl.obolibrary.org/obo/uberon/releases/2024-11-25/uberon.owl,,,,,,,,,,,,,,,,
anatomical system,anatomical system,UBERON:0000467,respiratory system,respiratory system,UBERON:0001004,respiratory tract,respiratory tract,UBERON:0000065,proximo-distal subdivision of respiratory tract,proximo-distal subdivision of respiratory tract,UBERON:0000072,lower respiratory tract,lower respiratory tract,UBERON:0001558,pair of lungs,pair of lungs,UBERON:0000170,lung,lung,UBERON:0002048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Uberon release 11-25-2024,http://purl.obolibrary.org/obo/uberon/releases/2024-11-25/uberon.owl,,,,,,,,,,,,,,,,
anatomical system,anatomical system,UBERON:0000467,respiratory system,respiratory system,UBERON:0001004,respiratory tract,respiratory tract,UBERON:0000065,proximo-distal subdivision of respiratory tract,proximo-distal subdivision of respiratory tract,UBERON:0000072,lower respiratory tract,lower respiratory tract,UBERON:0001558,tracheobronchial tree,tracheobronchial tree,UBERON:0007196,trachea,trachea,UBERON:0003126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Uberon release 11-25-2024,http://purl.obolibrary.org/obo/uberon/releases/2024-11-25/uberon.owl,,,,,,,,,,,,,,,,
anatomical system,anatomical system,UBERON:0000467,respiratory system,respiratory system,UBERON:0001004,respiratory tract,respiratory tract,UBERON:0000065,proximo-distal subdivision of respiratory tract,proximo-distal subdivision of respiratory tract,UBERON:0000072,lower respiratory tract,lower respiratory tract,UBERON:0001558,tracheobronchial tree,tracheobronchial tree,UBERON:0007196,bronchus,bronchus,UBERON:0002185,main bronchus,main bronchus,UBERON:0002182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Uberon release 11-25-2024,http://purl.obolibrary.org/obo/uberon/releases/2024-11-25/uberon.owl,,,,,,,,,,,,,,,,
anatomical system,anatomical system,UBERON:0000467,excretory system,excretory system,UBERON:8450002,renal system,renal system,UBERON:0001008,upper urinary tract,upper urinary tract,UBERON:0011143,kidney,kidney,UBERON:0002113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Uberon release 11-25-2024,http://purl.obolibrary.org/obo/uberon/releases/2024-11-25/uberon.owl,,,,,,,,,,,,,,,,
anatomical system,anatomical system,UBERON:0000467,excretory system,excretory system,UBERON:8450002,renal system,renal system,UBERON:0001008,upper urinary tract,upper urinary tract,UBERON:0011143,renal pelvis/ureter,renal pelvis/ureter,UBERON:0036295,renal pelvis,renal pelvis,UBERON:0001224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Uberon release 11-25-2024,http://purl.obolibrary.org/obo/uberon/releases/2024-11-25/uberon.owl,,,,,,,,,,,,,,,,
anatomical system,anatomical system,UBERON:0000467,excretory system,excretory system,UBERON:8450002,renal system,renal system,UBERON:0001008,upper urinary tract,upper urinary tract,UBERON:0011143,renal pelvis/ureter,renal pelvis/ureter,UBERON:0036295,ureter,ureter,UBERON:0000056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Uberon release 11-25-2024,http://purl.obolibrary.org/obo/uberon/releases/2024-11-25/uberon.owl,,,,,,,,,,,,,,,,
anatomical system,anatomical system,UBERON:0000467,excretory system,excretory system,UBERON:8450002,renal system,renal system,UBERON:0001008,lower urinary tract,lower urinary tract,UBERON:0001556,urinary bladder,urinary bladder,UBERON:0001255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Uberon release 11-25-2024,http://purl.obolibrary.org/obo/uberon/releases/2024-11-25/uberon.owl,,,,,,,,,,,,,,,,
anatomical system,anatomical system,UBERON:0000467,reproductive system,reproductive system,UBERON:0000990,female reproductive system,female reproductive system,UBERON:0000474,ovary,ovary,UBERON:0000992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Uberon release 11-25-2024,http://purl.obolibrary.org/obo/uberon/releases/2024-11-25/uberon.owl,,,,,,,,,,,,,,,,
anatomical system,anatomical system,UBERON:0000467,reproductive system,reproductive system,UBERON:0000990,female reproductive system,female reproductive system,UBERON:0000474,internal genitalia,internal genitalia,UBERON:0004175,internal female genitalia,internal female genitalia,UBERON:0003975,fallopian tube,fallopian tube,UBERON:0003889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Uberon release 11-25-2024,http://purl.obolibrary.org/obo/uberon/releases/2024-11-25/uberon.owl,,,,,,,,,,,,,,,,
anatomical system,anatomical system,UBERON:0000467,reproductive system,reproductive system,UBERON:0000990,female reproductive system,female reproductive system,UBERON:0000474,internal genitalia,internal genitalia,UBERON:0004175,uterus,uterus,UBERON:0000995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Uberon release 11-25-2024,http://purl.obolibrary.org/obo/uberon/releases/2024-11-25/uberon.owl,,,,,,,,,,,,,,,,
anatomical system,anatomical system,UBERON:0000467,reproductive system,reproductive system,UBERON:0000990,female reproductive system,female reproductive system,UBERON:0000474,placenta,placenta,UBERON:0001987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Uberon release 11-25-2024,http://purl.obolibrary.org/obo/uberon/releases/2024-11-25/uberon.owl,,,,,,,,,,,,,,,,
anatomical system,anatomical system,UBERON:0000467,reproductive system,reproductive system,UBERON:0000990,male reproductive system,male reproductive system,UBERON:0000079,male accessory sex gland,male accessory sex gland,UBERON:0010147,prostate gland,prostate gland,UBERON:0002367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Uberon release 11-25-2024,http://purl.obolibrary.org/obo/uberon/releases/2024-11-25/uberon.owl,,,,,,,,,,,,,,,,
anatomical system,anatomical system,UBERON:0000467,organ system subdivision,organ system subdivision,UBERON:0011216,musculature of body,musculature of body,UBERON:0000383,skeletal musculature,skeletal musculature,UBERON:0018254,skeletal muscle organ,"skeletal muscle organ, vertebrate",UBERON:0014892,limb muscle,limb muscle,UBERON:0003661,hindlimb muscle,hindlimb muscle,UBERON:0003663,quadriceps femoris,quadriceps femoris,UBERON:0001377,vastus medialis,vastus medialis,UBERON:0001380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Uberon release 11-25-2024,http://purl.obolibrary.org/obo/uberon/releases/2024-11-25/uberon.owl,,,,,,,,,,,,,,,,
anatomical system,anatomical system,UBERON:0000467,organ system subdivision,organ system subdivision,UBERON:0011216,musculature of body,musculature of body,UBERON:0000383,skeletal musculature,skeletal musculature,UBERON:0018254,skeletal muscle organ,"skeletal muscle organ, vertebrate",UBERON:0014892,limb muscle,limb muscle,UBERON:0003661,hindlimb muscle,hindlimb muscle,UBERON:0003663,quadriceps femoris,quadriceps femoris,UBERON:0001377,vastus lateralis,vastus lateralis,UBERON:0001379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Uberon release 11-25-2024,http://purl.obolibrary.org/obo/uberon/releases/2024-11-25/uberon.owl,,,,,,,,,,,,,,,,
anatomical system,anatomical system,UBERON:0000467,organ system subdivision,organ system subdivision,UBERON:0011216,musculature of body,musculature of body,UBERON:0000383,skeletal musculature,skeletal musculature,UBERON:0018254,skeletal muscle organ,"skeletal muscle organ, vertebrate",UBERON:0014892,limb muscle,limb muscle,UBERON:0003661,hindlimb muscle,hindlimb muscle,UBERON:0003663,quadriceps femoris,quadriceps femoris,UBERON:0001377,vastus intermedius,vastus intermedius,UBERON:0014847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Uberon release 11-25-2024,http://purl.obolibrary.org/obo/uberon/releases/2024-11-25/uberon.owl,,,,,,,,,,,,,,,,
anatomical system,anatomical system,UBERON:0000467,organ system subdivision,organ system subdivision,UBERON:0011216,musculature of body,musculature of body,UBERON:0000383,skeletal musculature,skeletal musculature,UBERON:0018254,skeletal muscle organ,"skeletal muscle organ, vertebrate",UBERON:0014892,limb muscle,limb muscle,UBERON:0003661,hindlimb muscle,hindlimb muscle,UBERON:0003663,quadriceps femoris,quadriceps femoris,UBERON:0001377,rectus femoris,rectus femoris,UBERON:0001378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Uberon release 11-25-2024,http://purl.obolibrary.org/obo/uberon/releases/2024-11-25/uberon.owl,,,,,,,,,,,,,,,,
anatomical system,anatomical system,UBERON:0000467,organ system subdivision,organ system subdivision,UBERON:0011216,musculature of body,musculature of body,UBERON:0000383,skeletal musculature,skeletal musculature,UBERON:0018254,skeletal muscle organ,"skeletal muscle organ, vertebrate",UBERON:0014892,limb muscle,limb muscle,UBERON:0003661,hindlimb muscle,hindlimb muscle,UBERON:0003663,muscle of leg,muscle of leg,UBERON:0001383,hindlimb zeugopod muscle,hindlimb zeugopod muscle,UBERON:0004256,triceps surae,triceps surae,UBERON:0001665,gastrocnemius,gastrocnemius,UBERON:0001388,gastrocnemius lateralis,gastrocnemius lateralis,UBERON:0011908,,,,,,,,,,,,,,,,,,,,,,Uberon release 11-25-2024,http://purl.obolibrary.org/obo/uberon/releases/2024-11-25/uberon.owl,,,,,,,,,,,,,,,,
anatomical system,anatomical system,UBERON:0000467,organ system subdivision,organ system subdivision,UBERON:0011216,musculature of body,musculature of body,UBERON:0000383,skeletal musculature,skeletal musculature,UBERON:0018254,skeletal muscle organ,"skeletal muscle organ, vertebrate",UBERON:0014892,limb muscle,limb muscle,UBERON:0003661,hindlimb muscle,hindlimb muscle,UBERON:0003663,muscle of leg,muscle of leg,UBERON:0001383,hindlimb zeugopod muscle,hindlimb zeugopod muscle,UBERON:0004256,triceps surae,triceps surae,UBERON:0001665,gastrocnemius,gastrocnemius,UBERON:0001388,gastrocnemius medialis,gastrocnemius medialis,UBERON:0011907,,,,,,,,,,,,,,,,,,,,,,Uberon release 11-25-2024,http://purl.obolibrary.org/obo/uberon/releases/2024-11-25/uberon.owl,,,,,,,,,,,,,,,,
anatomical system,anatomical system,UBERON:0000467,organ system subdivision,organ system subdivision,UBERON:0011216,musculature of body,musculature of body,UBERON:0000383,skeletal musculature,skeletal musculature,UBERON:0018254,skeletal muscle organ,"skeletal muscle organ, vertebrate",UBERON:0014892,limb muscle,limb muscle,UBERON:0003661,hindlimb muscle,hindlimb muscle,UBERON:0003663,muscle of leg,muscle of leg,UBERON:0001383,hindlimb zeugopod muscle,hindlimb zeugopod muscle,UBERON:0004256,triceps surae,triceps surae,UBERON:0001665,soleus muscle,soleus muscle,UBERON:0001389,,,,,,,,,,,,,,,,,,,,,,,,,Uberon release 11-25-2024,http://purl.obolibrary.org/obo/uberon/releases/2024-11-25/uberon.owl,,,,,,,,,,,,,,,,
anatomical system,anatomical system,UBERON:0000467,organ system subdivision,organ system subdivision,UBERON:0011216,skeletal system,skeletal system,UBERON:0001434,skeleton,skeleton,UBERON:0004288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Uberon release 11-25-2024,http://purl.obolibrary.org/obo/uberon/releases/2024-11-25/uberon.owl,,,,,,,,,,,,,,,,
anatomical system,anatomical system,UBERON:0000467,nervous system,nervous system,UBERON:0001016,central nervous system,central nervous system,UBERON:0001017,brain,brain,UBERON:0000955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Uberon release 11-25-2024,http://purl.obolibrary.org/obo/uberon/releases/2024-11-25/uberon.owl,,,,,,,,,,,,,,,,
anatomical system,anatomical system,UBERON:0000467,nervous system,nervous system,UBERON:0001016,central nervous system,central nervous system,UBERON:0001017,spinal cord,spinal cord,UBERON:0002240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Uberon release 11-25-2024,http://purl.obolibrary.org/obo/uberon/releases/2024-11-25/uberon.owl,,,,,,,,,,,,,,,,
