Peripheral Nervous System Organ Crosswalk,,,,,,,,,,,,
,,,,,,,,,,,,
Author Name(s):,Katherine S Gustilo; Ilias Ziogas; Fahim Imam,,,,,,,,,,,
Author ORCID(s):,0000-0002-5574-4272; 0000-0002-9210-2455; 0000-0003-4752-543X,,,,,,,,,,,
Reviewer(s):,Griffin Weber,,,,,,,,,,,
Reviewer ORCID(s):,0000-0002-2597-881X,,,,,,,,,,,
General Publication(s):,"Netter FH. Atlas of human anatomy. Philadelphia, PA: Saunders/Elsevier. 2006.; Gray H. Gray's Anatomy: The Anatomical Basis of Clinical Practice (40th ed.). Churchill-Livingstone, Elsevier. 2008.",,,,,,,,,,,
Data DOI:,https://doi.org/10.48539/HBM446.ZZZN.837,,,,,,,,,,,
Date:,"June 15, 2024",,,,,,,,,,,
Version Number:,v1.0,,,,,,,,,,,
Nerve,NerveID,Relationship,BodySubPart,BodySubPartID,BodySubPartSequence,BodyPart,BodyPartID,FTU,FTULabel,FTUID,Angiosome,AngiosomeID
branch of posterior interosseous nerve,FMA:80285,innervates,extensor digiti minimi muscle,UBERON:0007614,999,muscular system,UBERON:0000383,,,,,
nerve to extensor digiti minimi,FMA:81185,innervates,extensor digiti minimi muscle,UBERON:0007614,999,muscular system,UBERON:0000383,,,,,
radial nerve,UBERON:0001492,innervates,extensor digiti minimi muscle,UBERON:0007614,999,muscular system,UBERON:0000383,,,,,
branch of posterior interosseous nerve,FMA:80285,innervates,extensor digitorum communis,UBERON:0007612,999,muscular system,UBERON:0000383,,,,,
radial nerve,UBERON:0001492,innervates,extensor digitorum communis,UBERON:0007612,999,muscular system,UBERON:0000383,,,,,
branch of posterior interosseous nerve,FMA:80285,innervates,extensor indicis muscle,,999,muscular system,UBERON:0000383,,,,,
nerve to extensor indicis,FMA:80286,innervates,extensor indicis muscle,,999,muscular system,UBERON:0000383,,,,,
radial nerve,UBERON:0001492,innervates,extensor indicis muscle,,999,muscular system,UBERON:0000383,,,,,
branch of posterior interosseous nerve,FMA:80285,innervates,extensor pollicis brevis muscle,UBERON:0017618,999,muscular system,UBERON:0000383,,,,,
nerve to extensor pollicis brevis,FMA:80292,innervates,extensor pollicis brevis muscle,UBERON:0017618,999,muscular system,UBERON:0000383,,,,,
radial nerve,UBERON:0001492,innervates,extensor pollicis brevis muscle,UBERON:0017618,999,muscular system,UBERON:0000383,,,,,
