OMAP-N: Organ Mapping Antibody Panel (OMAP) for Multiplexed Antibody-Based Imaging of Lung with CODEX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Title:,OMAP to detect senescent cells in lung tissue by CODEX using the Phenocycler Fusion System,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Author Name(s):,Jeffrey M. Purkerson; Gloria S. Pryhuber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Author ORCiD(s):,0000-0001-7636-4992; 0000-0002-9185-3994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reviewer(s):,Liz McDonough,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reviewer ORCiD(s):,0000-0001-7524-8260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Publication(s):,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data DOI:,https://doi.org/10.48539/HBM652.FCHM.439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date:,"June 15, 2026",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Version Number: 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
omap_id,uniprot_accession_number,HGNC_ID,target_symbol,host,isotype,clonality,clone_id,vendor,catalog_number,lot_number,recombinant,concentration_value,dilution_factor,conjugate,rrid,method,tissue_preservation,cycle_number,fluorescent_reporter,protocol_doi,author_orcids,core_panel,rationale,organ,organ_uberon,senescence_specific,cell_marker,segmentation_marker,target_species,recommended
OMAP-38,Q15661,HGNC:12019,TPSAB1,Mouse,IgG1,Monoclonal,AA1,Abcam,ab2378,B359679,N,0.4,,Oligonucleotide,AB_303023,CODEX,FFPE,14,Atto 550,https://dx.doi.org/10.17504/protocols.io.6qpvr38dpvmk/v3,0000-0001-7636-4992; 0000-0002-9185-3994,N,"Tryptase alpha/beta-1, Mast Cells",lung,UBERON:0002048,N,mast cell,,,Y
OMAP-38,P08575,HGNC:9666,PTPRC,Rabbit,IgG,Monoclonal,D9M8I,Akoya Biosciences,4550121,B334540,N,,200,Oligonucleotide,AB_2915946,CODEX,FFPE,2,CY5/AF647,https://dx.doi.org/10.17504/protocols.io.6qpvr38dpvmk/v3,0000-0001-7636-4992; 0000-0002-9185-3994,Y,"Receptor-type tyrosine-protein phosphatase C, CD45, Bone marrow derived cells (BMDC), leukocytes",lung,UBERON:0002048,N,hematopoietic cells,,,Y
OMAP-38,P17813,HGNC:3349,ENG,Rabbit,IgG,Monoclonal,EPR25354-2,Abcam,ab271922,1088628-1,Y,0.4,,Oligonucleotide,AB_2894873,CODEX,FFPE,3,AF750,https://dx.doi.org/10.17504/protocols.io.6qpvr38dpvmk/v3,0000-0001-7636-4992; 0000-0002-9185-3994,N,"Expressed by vascular endothelial cells, some stromal/progenitor cells; regulates angiogenesis",lung,UBERON:0002048,N,lung microvascular endothelial cell,,,Y
OMAP-38,P31997,HGNC:1820,CEACAM8,Rabbit,IgG,Monoclonal,EPR25354-2,Abcam,ab300123,1043924-12,Y,0.4,,Oligonucleotide,AB_3097803,CODEX,FFPE,1,Atto 550,https://dx.doi.org/10.17504/protocols.io.6qpvr38dpvmk/v3,0000-0001-7636-4992; 0000-0002-9185-3994,N,"Neutrophil, granulocyte marker",lung,UBERON:0002048,N,neutrophil,,,Y
OMAP-38,P04216,HGNC:11801,THY1,Rabbit,IgG,Monoclonal,EPR3133,Abcam,ab226123,1059017-1,Y,0.4,,Oligonucleotide,AB_11155503,CODEX,FFPE,2,Atto 550,https://dx.doi.org/10.17504/protocols.io.6qpvr38dpvmk/v3,0000-0001-7636-4992; 0000-0002-9185-3994,N,identifies lung fibroblast subset,lung,UBERON:0002048,N,"bronchus fibroblasts of lung,  alveolar adventitial fibroblasts",,,Y
OMAP-38,Q13361,HGNC:29673,MFAP5,Rabbit,IgG,Monoclonal,EPR17581,Abcam,ab240367,1080176-2,Y,0.4,,Oligonucleotide,AB_3696411,CODEX,FFPE,11,CY5/AF647,https://dx.doi.org/10.17504/protocols.io.6qpvr38dpvmk/v3,0000-0001-7636-4992; 0000-0002-9185-3994,N," adventitial fibroblast subset (AF2, adventitial) prominent expression in adventitial ECM ",lung,UBERON:0002048,N, allveolar adventital fibroblast (AF2):,,,Y
OMAP-38,Q05707,HGNC:2191,COL14A1,Rabbit,IgG,Monoclonal, E5W8S,Cell Signaling Technology,58865,HPA023781,Y,0.4,,Oligonucleotide,AB_3696891,CODEX,FFPE,10,Atto 550,https://dx.doi.org/10.17504/protocols.io.6qpvr38dpvmk/v3,0000-0001-7636-4992; 0000-0002-9185-3994,N,fibril-associated collagen; regulates fibrillogenesis,lung,UBERON:0002048,N,fibroblast,,,Y
OMAP-38,P02751,HGNC:3778,FN1,Rabbit,IgG,Monoclonal,EPR23110-46,Abcam,ab268022,1059939-10,Y,0.4,,Oligonucleotide,AB_2927764,CODEX,FFPE,9,AF750,https://dx.doi.org/10.17504/protocols.io.6qpvr38dpvmk/v3,0000-0001-7636-4992; 0000-0002-9185-3994,N,"ECM, particularly around muscularized vessels, positive signal in cartilage lacunae, alveolar fibroblast",lung,UBERON:0002048,N,fibroblast,,,Y
OMAP-38,Q99988,HGNC:30142,GDF15,Rabbit,IgG,Monoclonal,EPR19939,Abcam,ab271973,1068349-2,Y,0.4,,Oligonucleotide,AB_3099455,CODEX,FFPE,6,CY5/AF647,https://dx.doi.org/10.17504/protocols.io.6qpvr38dpvmk/v3,0000-0001-7636-4992; 0000-0002-9185-3994,N,SEN Marker: stress induced cytokine of the TGF-β  superfamily; regulates cell/tissue homeostasis; low levels in normal lung; strong marker of senescent cells,lung,UBERON:0002048,Y,variable,,,Y
OMAP-38,P16278,HGNC:4298,GLB1,Rabbit,IgG,Monoclonal,EPR26120-76,Abcam,ab305175,1031824-1,Y,,200,Oligonucleotide,AB_3099450,CODEX,FFPE,7,CY5/AF647,https://dx.doi.org/10.17504/protocols.io.6qpvr38dpvmk/v3,0000-0001-7636-4992; 0000-0002-9185-3994,N,"SEN Marker:  lysosomal  beta-galactosidase, catabolism of GM1 ganglioside and keratan sulfate.; increased expression indicative of enhance lysosomal degradation",lung,UBERON:0002048,Y,variable,,,Y
OMAP-38,P16104,HGNC:4739,H2AX,Rabbit,IgG,Monoclonal,EP854(2)Y,Abcam,ab215967,1018786-3,Y,0.4,,Oligonucleotide,AB_2864385,CODEX,FFPE,3,Atto 550,https://dx.doi.org/10.17504/protocols.io.6qpvr38dpvmk/v3,0000-0001-7636-4992; 0000-0002-9185-3994,N,SEN Marker: phosphorylated (S139) Histone H2A variant; expression increased in regions of double stranded DNA breaks,lung,UBERON:0002048,Y,variable,,,Y
OMAP-38,P09429,HGNC:4983,HMGB1,Rabbit,IgG,Monoclonal,EPR3507,Abcam,ab216986,1073250-1,Y,0.4,,Oligonucleotide,AB_3096204,CODEX,FFPE,13,Atto 550,https://dx.doi.org/10.17504/protocols.io.6qpvr38dpvmk/v3,0000-0001-7636-4992; 0000-0002-9185-3994,N,"SEN Marker: (High Mobility Group Box 1); constitutive nuclear expression; translocates from nucleus and secreted in response to cellular stress, resulting nuclear reduction, cytoplasmic relocation and overall cellular reduction noted in association with senescence, best used in varification of other markers of senescence",lung,UBERON:0002048,Y,all,,,Y
OMAP-38,P20700,HGNC:6637,LMNB1,Rabbit,IgG,Monoclonal,EPR22165-121,Abcam,ab239399,1067513-3,Y,0.4,,Oligonucleotide,AB_3099453,CODEX,FFPE,4,AF750,https://dx.doi.org/10.17504/protocols.io.6qpvr38dpvmk/v3,0000-0001-7636-4992; 0000-0002-9185-3994,N,"SEN Marker: lamin B1; constitutive expression in the nuclear envelope indicative of structural integrity and stability,  marked reduced expression in senescent cells",lung,UBERON:0002048,Y,all,,,Y
OMAP-38,P42771,HGNC:1787,CDKN2A,Rabbit,IgG,Monoclonal,EPR1473,Abcam,ab186932,1046058-5,Y,0.4,,Oligonucleotide,AB_2895712,CODEX,FFPE,5,CY5/AF647,https://dx.doi.org/10.17504/protocols.io.6qpvr38dpvmk/v3,0000-0001-7636-4992; 0000-0002-9185-3994,N,"SEN Marker:  this gene, cyclin-dependent kinase inhibitor 2A encodes p16INK4alpha;increased in (some) senescent cells, with or without CDKN1A coexpression",lung,UBERON:0002048,Y,variable,,,Y
OMAP-38,P38936,HGNC:1784,CDKN1A,Rabbit,IgG,Monoclonal,12D1,Cell Signaling Technology,19399,1,Y,0.4,,Oligonucleotide,AB_3099451,CODEX,FFPE,2,CY5/AF647,https://dx.doi.org/10.17504/protocols.io.6qpvr38dpvmk/v3,0000-0001-7636-4992; 0000-0002-9185-3994,N,"SEN Marker:  cyclin-dependent kinase inhibitor 1A; (p21), increased in (some) senescent cells, with or without CDKN2A coexpression",lung,UBERON:0002048,Y,variable,,,Y
