Musculoskeletal Crosswalk,,,,,,,,,,,,,
,,,,,,,,,,,,,
Author Name(s):,Katherine S Gustilo; Griffin Weber,,,,,,,,,,,,
Author ORCID(s):,0000-0002-5574-4272; 0000-0002-2597-881X,,,,,,,,,,,,
Reviewer(s):,,,,,,,,,,,,,
Reviewer ORCID(s):,,,,,,,,,,,,,
General Publication(s):,,,,,,,,,,,,,
Data DOI:,https://doi.org/10.48539/HBM693.NGDL.755,,,,,,,,,,,,
Date:,"March 7, 2025",,,,,,,,,,,,
Version Number:,v1.1,,,,,,,,,,,,
Structure1Name,Structure1ID,Structure1Type,Relationship,Relationship2,Structure2Name,Structure2ID,Structure2Type,JointName,JointLabel,JointID,JoiningStructureName,JoiningStructureLabel,JoiningStructureID
flexor digitorum superficialis muscle,UBERON:0003222,muscle,attached_to,has_muscle_insertion,shaft of second middle phalanx of hand,FMA:37560,bone,,,,,,
flexor digitorum superficialis muscle,UBERON:0003222,muscle,attached_to,has_muscle_insertion,shaft of third middle phalanx of hand,FMA:37572,bone,,,,,,
flexor pollicis brevis muscle,UBERON:0011012,muscle,attached_to,has_muscle_insertion,base of first proximal phalanx of hand,,bone,,,,,,
flexor pollicis longus muscle,UBERON:0008446,muscle,attached_to,has_muscle_insertion,base of first distal phalanx of hand,,bone,,,,,,
flexor pollicis longus muscle,UBERON:0008446,muscle,attached_to,has_muscle_origin,interosseous membrane between ulna and radius,,fascia,,,,,,
flexor pollicis longus muscle,UBERON:0008446,muscle,attached_to,has_muscle_origin,shaft of radius,,bone,,,,,,
fourth dorsal interosseous muscle,,muscle,attached_to,has_muscle_insertion,base of fourth proximal phalanx of hand,FMA:37523,bone,,,,,,
fourth dorsal interosseous muscle,,muscle,attached_to,has_muscle_insertion,extensor expansion of 4th digit,,fascia,,,,,,
fourth dorsal interosseous muscle,,muscle,attached_to,has_muscle_origin,shaft of fifth metacarpal bone,FMA:42881,bone,,,,,,
fourth dorsal interosseous muscle,,muscle,attached_to,has_muscle_origin,shaft of fourth metacarpal bone,FMA:42878,bone,,,,,,
fourth lumbrical,,muscle,attached_to,has_muscle_origin,3rd tendon of flexor digitorum profundus,,tendon,,,,,,
fourth lumbrical,,muscle,attached_to,has_muscle_origin,4th tendon of flexor digitorum profundus,,tendon,,,,,,
fourth lumbrical,,muscle,attached_to,has_muscle_insertion,extensor expansion of 5th digit,,fascia,,,,,,
humeral head of extensor carpi ulnaris muscle,FMA:77260,muscle,attached_to,has_muscle_origin,lateral epicondyle of humerus,FMA:23442,bone,,,,,,
humeral head of flexor carpi ulnaris muscle,FMA:38615,muscle,attached_to,has_muscle_origin,medial epicondyle of humerus,FMA:23441,bone,,,,,,
humeral head of pronator teres muscle,FMA:38558,muscle,attached_to,has_muscle_origin,medial epicondyle of humerus,FMA:23441,bone,,,,,,
humero-ulnar head of flexor digitorum superficialis muscle,FMA:38636,muscle,attached_to,has_muscle_origin,coronoid process of ulna,UBERON:0010994,bone,,,,,,
humero-ulnar head of flexor digitorum superficialis muscle,FMA:38636,muscle,attached_to,has_muscle_origin,medial epicondyle of humerus,FMA:23441,bone,,,,,,
humero-ulnar head of flexor digitorum superficialis muscle,FMA:38636,muscle,attached_to,has_muscle_origin,ulnar collateral ligament,,ligament,,,,,,
infraspinatus muscle,UBERON:0001477,muscle,attached_to,has_muscle_insertion,greater tubercle of humerus,FMA:23390,bone,,,,,,
infraspinatus muscle,UBERON:0001477,muscle,attached_to,has_muscle_origin,infraspinous fossa of scapula,,bone,,,,,,
lateral head of triceps brachii muscle,FMA:37694,muscle,attached_to,has_muscle_origin,shaft of humerus,FMA:13305,bone,,,,,,
long head of biceps brachii muscle,FMA:37683,muscle,attached_to,has_muscle_origin,supraglenoid tubercle of scapula,,bone,,,,,,
long head of triceps brachii muscle,FMA:37692,muscle,attached_to,has_muscle_origin,infraglenoid tubercle of scapula,,bone,,,,,,
medial head of triceps brachii muscle,FMA:37693,muscle,attached_to,has_muscle_origin,shaft of humerus,FMA:13305,bone,,,,,,
oblique head of adductor pollicis muscle,FMA:46119,muscle,attached_to,has_muscle_origin,base of second metacarpal bone,FMA:42791,bone,,,,,,
oblique head of adductor pollicis muscle,FMA:46119,muscle,attached_to,has_muscle_origin,base of third metacarpal bone,FMA:42794,bone,,,,,,
oblique head of adductor pollicis muscle,FMA:46119,muscle,attached_to,has_muscle_origin,capitate,,bone,,,,,,
opponens digiti minimi muscle,,muscle,attached_to,has_muscle_origin,flexor retinaculum,,fascia,,,,,,
opponens digiti minimi muscle,,muscle,attached_to,has_muscle_origin,hook of hamate,FMA:39978,bone,,,,,,
opponens digiti minimi muscle,,muscle,attached_to,has_muscle_insertion,shaft of fifth metacarpal bone,FMA:42881,bone,,,,,,
opponens pollicis muscle,FMA:37379,muscle,attached_to,has_muscle_origin,flexor retinaculum,,fascia,,,,,,
opponens pollicis muscle,FMA:37379,muscle,attached_to,has_muscle_insertion,shaft of first metacarpal bone,FMA:42869,bone,,,,,,
opponens pollicis muscle,FMA:37379,muscle,attached_to,has_muscle_origin,tubercle of trapezium,,bone,,,,,,
palmaris brevis muscle,UBERON:0036172,muscle,attached_to,has_muscle_origin,flexor retinaculum,,fascia,,,,,,
palmaris brevis muscle,UBERON:0036172,muscle,attached_to,has_muscle_origin,palmar aponeurosis,,fascia,,,,,,
