node_id,node_label,node_mapped_to,tissue_label,tissue_mapped_to,organ_label,organ_mapped_to
Double_Positive_Alpha_Beta_Thymocyte_97,"double-positive, alpha-beta thymocyte",CL:0000809,thymus lobule,UBERON:0002125,Thymus,UBERON:0002370
Double_Positive_Alpha_Beta_Thymocyte_98,"double-positive, alpha-beta thymocyte",CL:0000809,thymus lobule,UBERON:0002125,Thymus,UBERON:0002370
Double_Positive_Alpha_Beta_Thymocyte_99,"double-positive, alpha-beta thymocyte",CL:0000809,thymus lobule,UBERON:0002125,Thymus,UBERON:0002370
Double_Positive_Alpha_Beta_Thymocyte_100,"double-positive, alpha-beta thymocyte",CL:0000809,thymus lobule,UBERON:0002125,Thymus,UBERON:0002370
Double_Positive_Alpha_Beta_Thymocyte_101,"double-positive, alpha-beta thymocyte",CL:0000809,thymus lobule,UBERON:0002125,Thymus,UBERON:0002370
Double_Positive_Alpha_Beta_Thymocyte_102,"double-positive, alpha-beta thymocyte",CL:0000809,thymus lobule,UBERON:0002125,Thymus,UBERON:0002370
Double_Positive_Alpha_Beta_Thymocyte_103,"double-positive, alpha-beta thymocyte",CL:0000809,thymus lobule,UBERON:0002125,Thymus,UBERON:0002370
Double_Positive_Alpha_Beta_Thymocyte_104,"double-positive, alpha-beta thymocyte",CL:0000809,thymus lobule,UBERON:0002125,Thymus,UBERON:0002370
Double_Positive_Alpha_Beta_Thymocyte_105,"double-positive, alpha-beta thymocyte",CL:0000809,thymus lobule,UBERON:0002125,Thymus,UBERON:0002370
Double_Positive_Alpha_Beta_Thymocyte_106,"double-positive, alpha-beta thymocyte",CL:0000809,thymus lobule,UBERON:0002125,Thymus,UBERON:0002370
Double_Positive_Alpha_Beta_Thymocyte_107,"double-positive, alpha-beta thymocyte",CL:0000809,thymus lobule,UBERON:0002125,Thymus,UBERON:0002370
Double_Positive_Alpha_Beta_Thymocyte_108,"double-positive, alpha-beta thymocyte",CL:0000809,thymus lobule,UBERON:0002125,Thymus,UBERON:0002370
Double_Positive_Alpha_Beta_Thymocyte_109,"double-positive, alpha-beta thymocyte",CL:0000809,thymus lobule,UBERON:0002125,Thymus,UBERON:0002370
Double_Positive_Alpha_Beta_Thymocyte_110,"double-positive, alpha-beta thymocyte",CL:0000809,thymus lobule,UBERON:0002125,Thymus,UBERON:0002370
Double_Positive_Alpha_Beta_Thymocyte_111,"double-positive, alpha-beta thymocyte",CL:0000809,thymus lobule,UBERON:0002125,Thymus,UBERON:0002370
Double_Positive_Alpha_Beta_Thymocyte_112,"double-positive, alpha-beta thymocyte",CL:0000809,thymus lobule,UBERON:0002125,Thymus,UBERON:0002370
Double_Positive_Alpha_Beta_Thymocyte_113,"double-positive, alpha-beta thymocyte",CL:0000809,thymus lobule,UBERON:0002125,Thymus,UBERON:0002370
Double_Positive_Alpha_Beta_Thymocyte_114,"double-positive, alpha-beta thymocyte",CL:0000809,thymus lobule,UBERON:0002125,Thymus,UBERON:0002370
Double_Positive_Alpha_Beta_Thymocyte_115,"double-positive, alpha-beta thymocyte",CL:0000809,thymus lobule,UBERON:0002125,Thymus,UBERON:0002370
Double_Positive_Alpha_Beta_Thymocyte_116,"double-positive, alpha-beta thymocyte",CL:0000809,thymus lobule,UBERON:0002125,Thymus,UBERON:0002370
Double_Positive_Alpha_Beta_Thymocyte_117,"double-positive, alpha-beta thymocyte",CL:0000809,thymus lobule,UBERON:0002125,Thymus,UBERON:0002370
Double_Positive_Alpha_Beta_Thymocyte_118,"double-positive, alpha-beta thymocyte",CL:0000809,thymus lobule,UBERON:0002125,Thymus,UBERON:0002370
Double_Positive_Alpha_Beta_Thymocyte_119,"double-positive, alpha-beta thymocyte",CL:0000809,thymus lobule,UBERON:0002125,Thymus,UBERON:0002370
Double_Positive_Alpha_Beta_Thymocyte_120,"double-positive, alpha-beta thymocyte",CL:0000809,thymus lobule,UBERON:0002125,Thymus,UBERON:0002370
Double_Positive_Alpha_Beta_Thymocyte_121,"double-positive, alpha-beta thymocyte",CL:0000809,thymus lobule,UBERON:0002125,Thymus,UBERON:0002370
Double_Positive_Alpha_Beta_Thymocyte_122,"double-positive, alpha-beta thymocyte",CL:0000809,thymus lobule,UBERON:0002125,Thymus,UBERON:0002370
Double_Positive_Alpha_Beta_Thymocyte_123,"double-positive, alpha-beta thymocyte",CL:0000809,thymus lobule,UBERON:0002125,Thymus,UBERON:0002370
Double_Positive_Alpha_Beta_Thymocyte_124,"double-positive, alpha-beta thymocyte",CL:0000809,thymus lobule,UBERON:0002125,Thymus,UBERON:0002370
Double_Positive_Alpha_Beta_Thymocyte_125,"double-positive, alpha-beta thymocyte",CL:0000809,thymus lobule,UBERON:0002125,Thymus,UBERON:0002370
Double_Positive_Alpha_Beta_Thymocyte_126,"double-positive, alpha-beta thymocyte",CL:0000809,thymus lobule,UBERON:0002125,Thymus,UBERON:0002370
Double_Positive_Alpha_Beta_Thymocyte_127,"double-positive, alpha-beta thymocyte",CL:0000809,thymus lobule,UBERON:0002125,Thymus,UBERON:0002370
Double_Positive_Alpha_Beta_Thymocyte_128,"double-positive, alpha-beta thymocyte",CL:0000809,thymus lobule,UBERON:0002125,Thymus,UBERON:0002370
Double_Positive_Alpha_Beta_Thymocyte_129,"double-positive, alpha-beta thymocyte",CL:0000809,thymus lobule,UBERON:0002125,Thymus,UBERON:0002370
Double_Positive_Alpha_Beta_Thymocyte_130,"double-positive, alpha-beta thymocyte",CL:0000809,thymus lobule,UBERON:0002125,Thymus,UBERON:0002370
Double_Positive_Alpha_Beta_Thymocyte_131,"double-positive, alpha-beta thymocyte",CL:0000809,thymus lobule,UBERON:0002125,Thymus,UBERON:0002370
Double_Positive_Alpha_Beta_Thymocyte_132,"double-positive, alpha-beta thymocyte",CL:0000809,thymus lobule,UBERON:0002125,Thymus,UBERON:0002370
Double_Positive_Alpha_Beta_Thymocyte_133,"double-positive, alpha-beta thymocyte",CL:0000809,thymus lobule,UBERON:0002125,Thymus,UBERON:0002370
Double_Positive_Alpha_Beta_Thymocyte_134,"double-positive, alpha-beta thymocyte",CL:0000809,thymus lobule,UBERON:0002125,Thymus,UBERON:0002370
Double_Positive_Alpha_Beta_Thymocyte_135,"double-positive, alpha-beta thymocyte",CL:0000809,thymus lobule,UBERON:0002125,Thymus,UBERON:0002370
Double_Positive_Alpha_Beta_Thymocyte_136,"double-positive, alpha-beta thymocyte",CL:0000809,thymus lobule,UBERON:0002125,Thymus,UBERON:0002370
Double_Positive_Alpha_Beta_Thymocyte_137,"double-positive, alpha-beta thymocyte",CL:0000809,thymus lobule,UBERON:0002125,Thymus,UBERON:0002370
Double_Positive_Alpha_Beta_Thymocyte_138,"double-positive, alpha-beta thymocyte",CL:0000809,thymus lobule,UBERON:0002125,Thymus,UBERON:0002370
Double_Positive_Alpha_Beta_Thymocyte_139,"double-positive, alpha-beta thymocyte",CL:0000809,thymus lobule,UBERON:0002125,Thymus,UBERON:0002370
Double_Positive_Alpha_Beta_Thymocyte_140,"double-positive, alpha-beta thymocyte",CL:0000809,thymus lobule,UBERON:0002125,Thymus,UBERON:0002370
Double_Positive_Alpha_Beta_Thymocyte_141,"double-positive, alpha-beta thymocyte",CL:0000809,thymus lobule,UBERON:0002125,Thymus,UBERON:0002370
Double_Positive_Alpha_Beta_Thymocyte_142,"double-positive, alpha-beta thymocyte",CL:0000809,thymus lobule,UBERON:0002125,Thymus,UBERON:0002370
Double_Positive_Alpha_Beta_Thymocyte_143,"double-positive, alpha-beta thymocyte",CL:0000809,thymus lobule,UBERON:0002125,Thymus,UBERON:0002370
Double_Positive_Alpha_Beta_Thymocyte_144,"double-positive, alpha-beta thymocyte",CL:0000809,thymus lobule,UBERON:0002125,Thymus,UBERON:0002370
