node_name,OntologyID,label
Allen_gyrus_rectus_straight_gyrus_R,,
Allen_medial_orbital_gyrus_R,,
Allen_anterior_intermediate_orbital_gyrus_R,,
Allen_posterior_intermediate_orbital_gyrus_R,,
Allen_lateral_orbital_gyrus_R,,
Allen_paracentral_lobule_rostral_part_R,,
Allen_frontal_operculum_R,,
Allen_postcentral_gyrus_R,,
Allen_supraparietal_lobule_R,,
Allen_supramarginal_gyrus_R,,
Allen_angular_gyrus_R,,
Allen_precuneus_R,,
Allen_paracentral_lobule_caudal_part_R,,
Allen_superior_temporal_gyrus_R,,
Allen_middle_temporal_gyrus_R,,
Allen_inferior_temporal_gyrus_R,,
Allen_occipitotemporal_fusiform_gyrus_temporal_part_R,,
Allen_transverse_temporal_gyrus_Heschls_gyrus_R,,
Allen_planum_temporale_R,,
Allen_temporal_pole_R,,
Allen_planum_polare_R,,
Allen_occipital_pole_R,,
Allen_cuneus_R,,
Allen_lingual_gyrus_medial_occipitotemporal_gyrus_R,,
Allen_lateral_occipitotemporal_fusiform_gyrus_occipital_part_R,,
Allen_inferior_occipital_gyrus_R,,
Allen_superior_occipital_gyrus_R,,
Allen_cingulate_gyrus_rostral_anterior_part_R,,
Allen_cingulate_gyrus_caudal_posterior_part_R,,
Allen_ingulo_parahippocampal_isthmus_R,,
Allen_subcallosal_gyrus_parolfactory_gyrus_R,,
Allen_anterior_parahippocampal_gyrus_R,,
Allen_posterior_parahippocampal_gyrus_R,,
Allen_gyrus_ambiens_R,,
Allen_head_of_hippocampus_R,,
Allen_body_of_hippocampus_R,,
Allen_tail_of_hippocampus_R,,
Allen_long_insular_gyri_R,,
Allen_short_insular_gyri_R,,
Allen_limen_insula_R,,
Allen_pretectal_region_R,,
Allen_midbrain_tegmentum_R,,
Allen_red_nucleus_R,,
Allen_substantia_nigra_R,,
Allen_superior_colliculus_R,,
Allen_inferior_colliculus_R,,
Allen_cerebral_peduncle_crus_cerebri_R,,
Allen_superior_cerebellar_peduncle_brachium_conjunctivum_R,,
Allen_cerebral_aqueduct_R,,
Allen_paravermis_of_cerebellum_R,,
Allen_lateral_hemisphere_of_cerebellum_R,,
Allen_basilar_part_of_pons_R,,
Allen_pontine_tegmentum_R,,
Allen_pyramidal_part_of_medulla_oblongata_R,,
Allen_tegmentum_of_medulla_oblongata_R,,
Allen_inferior_olive_R,,
Allen_inferior_cerebellar_peduncle_R,,
Allen_middle_cerebellar_peduncle_R,,
Allen_fourth_ventricle_R,,
Allen_central_canal_of_medulla_oblongata_R,,
Allen_midline_nuclear_complex_R,,
Allen_lateral_olfactory_gyrus_R,,
Allen_parietal_operculum_R,,
Allen_optic_ratiation_R,,
Allen_posteroventral_putamen_R,,
Allen_atrium_of_lateral_ventricle_R,,
Allen_paracingulate_gyrus_R,,
Allen_rostral_gyrus_R,,
Allen_frontomarginal_gyrus_R,,
Allen_frontal_pole_R,,
Allen_perirhinal_gyrus_rostral_part_of_FuGt_R,,
