"Anatomical Structures, Cell Types and Biomarkers (ASCT+B) Tables to 3D Reference Object Library Mapping v1.0",,,,,,
,,,,,,
Author Name(s):,"Quardokus, E., Browne, K., Bueckle, A., Herr II, B., Börner, K.",,,,,
Author ORCID(s):,"0000-0001-7655-4833, 0000-0003-4066-7531, 0000-0002-8977-498X, 0000-0002-6703-7647, 0000-0002-3321-6137",,,,,
Reviewer(s):,,,,,,
General Publication(s):,https://www.biorxiv.org/content/10.1101/2021.05.31.446440v1,,,,,
Data DOI:,10.48539/HBM527.RCXM.366,,,,,
Date:,7/28/2021,,,,,
Version Number:,v1.0,,,,,
,,,,,,
anatomical_structure_of,source_spatial_entity,node_name,label,OntologyID,representation_of,glb file of single organs
#VHFVasculature,#VHFemaleOrgans,VHF_pulmonary_vein_L_inf,right inferior pulmonary vein,fma:fma:49911,http://purl.org/sig/ont/fma/fma49911,VH_F_Heart;VH_F_Vasculature
#VHFVasculature,#VHFemaleOrgans,VHF_renal_vein,renal vein,UBERON:0001140,http://purl.obolibrary.org/obo/UBERON_0001140,VH_F_Vasculature
#VHFVasculature,#VHFemaleOrgans,VHF_left_renal_vein,left renal vein,UBERON:0001142,http://purl.obolibrary.org/obo/UBERON_0001142,VH_F_Vasculature
#VHFVasculature,#VHFemaleOrgans,VHF_right_renal_vein,right renal vein,UBERON:0001141,http://purl.obolibrary.org/obo/UBERON_0001141,VH_F_Vasculature
#VHFVasculature,#VHFemaleOrgans,VHF_middle_rectal_vein,Middle rectal vein,fma:fma18893,http://purl.org/sig/ont/fma/fma18893,VH_F_Vasculature
#VHFVasculature,#VHFemaleOrgans,VHF_middle_rectal_vein_L,Left middle rectal vein,fma:fma18895,http://purl.org/sig/ont/fma/fma18895,VH_F_Vasculature
#VHFVasculature,#VHFemaleOrgans,VHF_middle_rectal_vein_R,Right middle rectal vein,fma:fma18894,http://purl.org/sig/ont/fma/fma18894,VH_F_Vasculature
#VHFVasculature,#VHFemaleOrgans,VHF_sigmoid_vein,sigmoid vein,fma:fma15395,http://purl.org/sig/ont/fma/fma15395,VH_F_Vasculature
#VHFVasculature,#VHFemaleOrgans,VHF_sigmoid_vein_a,sigmoid vein,fma:fma:15395,http://purl.org/sig/ont/fma/fma15395,VH_F_Vasculature
#VHFVasculature,#VHFemaleOrgans,VHF_sigmoid_vein_c,sigmoid vein,fma:fma:15395,http://purl.org/sig/ont/fma/fma15395,VH_F_Vasculature
#VHFVasculature,#VHFemaleOrgans,VHF_sigmoid_vein_b,sigmoid vein,fma:fma:15395,http://purl.org/sig/ont/fma/fma15395,VH_F_Vasculature
#VHFVasculature,#VHFemaleOrgans,VHF_vena_cava,vena cava,UBERON:0004087,http://purl.obolibrary.org/obo/UBERON_0004087,VH_F_Heart;VH_F_Vasculature
#VHFVasculature,#VHFemaleOrgans,VHF_superior_vena_cava,superior vena cava,fma:fma:4720,http://purl.org/sig/ont/fma/fma4720,VH_F_Heart;VH_F_Vasculature
