"Anatomical Structures, Cell Types and Biomarkers (ASCT+B) Tables to 3D Reference Object Library Mapping",,,,,,,
,,,,,,,
Author Name(s):,"Ellen M. Quardokus;  Heidi Schlehlein; Bruce Herr, II; Katy Borner",,,,,,
Author ORCID(s):,"0000-0001-7655-4833; 0000-0002-3333-5646;  0000-0002-8977-498X, 0000-0002-6703-7647, 0000-0002-3321-6137",,,,,,
Reviewer(s):,,,,,,,
Reviewer ORCID(s):,,,,,,,
General Publication(s):,"Borner, Katy, Sarah A. Teichmann, Ellen M. Quardokus, James C. Gee, Kristen Browne, David Osumi-Sutherland, Bruce W. Herr, et al. 2021. ""Anatomical Structures, Cell Types and Biomarkers of the Human Reference Atlas."" Nature Cell Biology 23 (11): 1117-28. https://doi.org/10.1038/s41556-021-00788-6.",,,,,,
Data DOI:,https://doi.org/10.48539/HBM224.QJKZ.987,,,,,,
Date:,6/15/24,,,,,,
Version Number:,v1.6,,,,,,
anatomical_structure_of,source_spatial_entity,node_name,label,OntologyID,representation_of,node_type,glb file of single organs
#VHFLeftEye,#VHFemaleOrgans,VH_F_corneo_scleral_junction_L,Left corneoscleral junction,FMA:58344,http://purl.org/sig/ont/fma/fma58344,mesh,3d-vh-f-eye-l
#VHFLeftEye,#VHFemaleOrgans,VH_F_ora_serrata_of_retina_L,Left ora serrata,FMA:58602,http://purl.org/sig/ont/fma/fma58602,mesh,3d-vh-f-eye-l
#VHFLeftEye,#VHFemaleOrgans,VH_F_suspensory_ligament_of_lens_L,Suspensory ligament of left lens,FMA:58840,http://purl.org/sig/ont/fma/fma58840,mesh,3d-vh-f-eye-l
#VHFLeftEye,#VHFemaleOrgans,VH_F_ciliary_processes_L,ciliary processes,UBERON:0010427,http://purl.obolibrary.org/obo/UBERON_0010427,mesh,3d-vh-f-eye-l
#VHFLeftEye,#VHFemaleOrgans,VH_F_pupil_L,left pupil,UBERON:0010223,http://purl.obolibrary.org/obo/UBERON_0010223,mesh,3d-vh-f-eye-l
#VHFLeftEye,#VHFemaleOrgans,VH_F_optic_choroid_L,Left choroid,FMA:58300,http://purl.org/sig/ont/fma/fma58300,mesh,3d-vh-f-eye-l
#VHFLeftEye,#VHFemaleOrgans,VH_F_sclera_L,Left sclera,FMA:58272,http://purl.org/sig/ont/fma/fma58272,mesh,3d-vh-f-eye-l
-,#VHFemaleOrgans,VH_F_nerves_of_eye,-,-,-,organizational,3d-vh-f-united
-,#VHFemaleOrgans,VH_F_nerves_of_eye_R,-,-,-,organizational,VH_F_Nerves_Eye_R
#VHFNervesRightEye,#VHFemaleOrgans,VH_F_dura_mater_right,dura mater,UBERON:0002363,http://purl.obolibrary.org/obo/UBERON_0002363,mesh,VH_F_Nerves_Eye_R
#VHFNervesRightEye,#VHFemaleOrgans,VH_F_right_optic_nerve,Right optic nerve,FMA:50875,http://purl.org/sig/ont/fma/fma50875,mesh,VH_F_Nerves_Eye_R
-,#VHFemaleOrgans,VH_F_nerves_of_eye_L,-,-,-,organizational,VH_F_Nerves_Eye_L
#VHFNervesLeftEye,#VHFemaleOrgans,VH_F_dura_mater_left,dura mater,UBERON:0002363,http://purl.obolibrary.org/obo/UBERON_0002363,mesh,VH_F_Nerves_Eye_L
#VHFNervesLeftEye,#VHFemaleOrgans,VH_F_left_optic_nerve,Left optic nerve,FMA:50878,http://purl.org/sig/ont/fma/fma50878,mesh,VH_F_Nerves_Eye_L
#VHFAllenBrain,#VHFemaleOrgans,Allen_brain,brain,UBERON:0000955,http://purl.obolibrary.org/obo/UBERON_0000955,organizational,3d-allen-f-brain
#VHFBrain,#VHFemaleOrgans,VH_F_optic_chiasm,optic chiasma,UBERON:0000959,http://purl.obolibrary.org/obo/UBERON_0000959,mesh,3d-allen-f-brain
